Fabp2,Custom Gene List,,
Slc16a3,Custom Gene List,,
Slc25a44,Custom Gene List,,
TFAM,Custom Gene List,,
Mrps5,Custom Gene List,,
CPT1A,Fatty Acid,,
CPT1B,Fatty Acid,,
CPT2,Fatty Acid,,
PPARa,Fatty Acid,,
PPARd,Fatty Acid,,
PPARg,Fatty Acid,,
SLC25a17,Fatty Acid,,
SLC27a2,Fatty Acid,,
CD36,Fatty Acid,,
MTOR,General ,,
FBP1,Gluconeogenesis,,
FBP2,Gluconeogenesis,,
G6PC,Gluconeogenesis,,
PCK1,Gluconeogenesis,,
GCK,Glycolysis,,
HK1,Glycolysis,,
HK2,Glycolysis,,
HK3,Glycolysis,,
PFKL,Glycolysis,,
PFKM,Glycolysis,,
PFKP,Glycolysis,,
PKLR,Glycolysis,,
PKM2,Glycolysis,,
ALDOA,Glycolysis/Gluconeogenesis,,
ALDOB,Glycolysis/Gluconeogenesis,,
ALDOC,Glycolysis/Gluconeogenesis,,
ENO1,Glycolysis/Gluconeogenesis,,PGK1
ENO1b,Glycolysis/Gluconeogenesis,,PGK2
ENO2,Glycolysis/Gluconeogenesis,,
ENO3,Glycolysis/Gluconeogenesis,,
GAPD,Glycolysis/Gluconeogenesis,,
GAPDH,Glycolysis/Gluconeogenesis,,
GAPDHS,Glycolysis/Gluconeogenesis,,
GPI,Glycolysis/Gluconeogenesis,,
PGAM1,Glycolysis/Gluconeogenesis,,
PGAM2,Glycolysis/Gluconeogenesis,,
TPI1,Glycolysis/Gluconeogenesis,,
DLAT,Linking Pathways,,
DLD,Linking Pathways,,
GOT1,Linking Pathways,,
GOT2,Linking Pathways,,
LDHA,Linking Pathways,,
LDHAL6B,Linking Pathways,,
LDHB,Linking Pathways,,
LDHC,Linking Pathways,,
MDH1,Linking Pathways,,
MDH2,Linking Pathways,,
PC,Linking Pathways,,
PDHA1,Linking Pathways,,
PDHA2,Linking Pathways,,
PDHB,Linking Pathways,,
PDHX,Linking Pathways,,
PDK1,Linking Pathways,,
PDK2,Linking Pathways,,
PDK4,Linking Pathways,,
PDP1,Linking Pathways,,
PDP2,Linking Pathways,,
ACLY,Linking Pathways,,
G6PD,Pentose Phopshate Pathway,,
PGD,Pentose Phopshate Pathway,,
PGLS,Pentose Phopshate Pathway,,
RPE,Pentose Phopshate Pathway,,
RPIA,Pentose Phopshate Pathway,,
TALDO1,Pentose Phopshate Pathway,,
TKT,Pentose Phopshate Pathway,,
ACO2,TCA Cycle,,
CS,TCA Cycle,,
DLST,TCA Cycle,,
FH,TCA Cycle,,
IDH2,TCA Cycle,,
IDH3A,TCA Cycle,,
IDH3B,TCA Cycle,,
IDH3G,TCA Cycle,,
MDH2,TCA Cycle,,
OGDH,TCA Cycle,,
SDHA,TCA Cycle,,
SDHB,TCA Cycle,,
SDHC,TCA Cycle,,
SDHD,TCA Cycle,,
SUCLA2,TCA Cycle,,
SUCLG1,TCA Cycle,,
SLC2A1,Transporters,,
SLC2A10,Transporters,,
SLC2A11,Transporters,,
SLC2A14,Transporters,,
SLC2A2,Transporters,,
SLC2A3,Transporters,,
SLC2A4,Transporters,,
SLC2A5,Transporters,,
SLC2A6,Transporters,,
SLC2A7,Transporters,,
SLC2A8,Transporters,,
SLC2A9,Transporters,,
SLC37A4,Transporters,,
SLC45A1,Transporters,,
SLC5A1,Transporters,,
SLC5A2,Transporters,,
SLC5A4,Transporters,,
SLC5A9,Transporters,,
MPC1,Transporters,,
MPC2,Transporters,,
